HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,RESULT
Arsenal,Man City,1,3,-1
Barcelona,Real Madrid,2,1,1
PSG,Marseille,3,0,1
Liverpool,Chelsea,2,2,0
Bayern,Dortmund,3,1,1
Inter,Juventus,1,0,1
Real Madrid,Atletico Madrid,1,1,0
Tottenham,Arsenal,0,2,-1
Napoli,Inter,1,3,-1
Chelsea,Man United,1,1,0
Man City,Liverpool,4,1,1
Dortmund,Leipzig,2,0,1
Juventus,Napoli,1,1,0
Marseille,PSG,0,1,-1
Barcelona,Atletico Madrid,1,0,1
Man United,Arsenal,2,1,1
Chelsea,Tottenham,2,0,1
Real Madrid,Sevilla,3,1,1
Liverpool,Man United,4,0,1
Bayern,Leipzig,3,2,1
Inter,Milan,1,1,0
PSG,Lyon,4,1,1
Atletico Madrid,Sevilla,2,0,1
Napoli,Roma,2,1,1
Arsenal,Brighton,4,2,1
Tottenham,Liverpool,1,2,-1
Bayern,Frankfurt,2,1,1
Barcelona,Villarreal,3,0,1
Juventus,Lazio,2,0,1
Leipzig,Union Berlin,1,2,-1
Real Madrid,Bilbao,2,0,1
Liverpool,Newcastle,3,1,1
Inter,Atalanta,1,2,-1
Dortmund,Wolfsburg,6,0,1
Chelsea,Aston Villa,3,1,1
PSG,Monaco,2,0,1
Atletico Madrid,Betis,1,0,1
Napoli,Fiorentina,1,0,1
Man City,Tottenham,2,3,-1
