LotArea,OverallQual,YearBuilt,TotRmsAbvGrd,GarageCars,Fireplaces,Neighborhood,HouseStyle,ExterQual,KitchenQual,SalePrice
12270,6,2020,8,1,1,Somerst,SFoyer,High,Medium,99522
5860,7,1932,2,2,0,NoRidge,1.5Fin,Low,High,280233
10390,10,1952,3,1,0,BrkSide,1.5Fin,Medium,Medium,448102
18418,7,1921,4,0,0,NoRidge,1.5Fin,High,Low,423393
10191,10,1920,2,3,1,CollgCr,SFoyer,Medium,Low,57485
16964,3,1969,10,3,0,NWAmes,SFoyer,Low,Medium,474671
16284,2,1969,9,0,1,NWAmes,1Story,Medium,Medium,293056
10734,9,2018,3,2,2,NoRidge,SLvl,High,Low,459983
11265,8,2011,10,2,2,Crawfor,1.5Fin,High,Medium,162701
5466,10,1903,8,3,0,OldTown,SLvl,Medium,Low,471669
18526,7,1993,10,1,1,Mitchel,SFoyer,Low,Medium,257352
9426,9,1974,7,2,2,Sawyer,SFoyer,Medium,Medium,152638
10578,4,1961,7,2,1,NWAmes,SFoyer,Low,Medium,234514
19423,4,1961,5,0,1,NoRidge,SLvl,Medium,Low,495093
16636,1,1993,11,0,0,NoRidge,SFoyer,High,Medium,324370
16363,8,1994,11,1,2,OldTown,1Story,Low,Low,143405
16111,3,1923,3,2,0,OldTown,SFoyer,Low,Low,334732
12598,5,1957,7,1,1,Crawfor,1Story,High,High,186556
10112,6,1990,6,2,0,Mitchel,2Story,High,Medium,291675
13675,4,1998,7,1,0,CollgCr,SFoyer,Medium,Medium,208212
11026,8,2015,9,2,1,NoRidge,SLvl,High,High,358771
14532,7,1970,8,1,0,Sawyer,SFoyer,Low,Medium,248920
12264,6,1985,7,2,1,BrkSide,1Story,Medium,High,341892
14280,7,1999,6,2,1,Crawfor,2Story,High,Medium,179234
16043,9,2005,10,3,2,NWAmes,SLvl,High,High,422105
13245,5,1980,5,2,0,OldTown,1Story,Medium,Medium,276432
12176,4,1992,6,1,1,Somerst,SFoyer,Medium,High,214589
15023,6,2001,8,2,1,Mitchel,2Story,High,High,385210
13455,7,1966,7,2,0,CollgCr,SFoyer,Medium,Low,325412
12534,3,1987,6,1,0,BrkSide,SLvl,Low,Medium,191103
14892,8,1978,9,3,1,NoRidge,1Story,High,Medium,402631
15647,5,1996,7,2,0,Crawfor,2Story,Medium,High,297820
11223,6,2004,6,2,1,NWAmes,SFoyer,High,Medium,281442
11988,7,1991,8,1,2,Mitchel,1Story,Medium,High,371225
13112,4,1950,5,1,0,OldTown,1.5Fin,Low,Medium,168902
14055,6,1995,7,2,1,Somerst,2Story,High,Medium,314561
12460,5,2007,6,1,0,BrkSide,SFoyer,Medium,Low,196453
15832,9,2012,9,2,2,NoRidge,SLvl,High,High,428940
14723,7,1989,8,2,1,Crawfor,1Story,Medium,Medium,305210
13540,6,1965,6,1,0,Sawyer,SFoyer,Low,Medium,239401
16100,8,2003,10,3,2,CollgCr,2Story,High,High,402587
12891,5,1976,6,1,0,NWAmes,1Story,Medium,Medium,257982
14120,4,1994,7,2,1,OldTown,SFoyer,Medium,High,322113
15235,7,2006,8,2,1,NoRidge,SLvl,High,High,384527
13911,6,1983,7,1,1,Mitchel,2Story,Medium,Medium,296114
12675,5,1991,6,2,0,Sawyer,1Story,Medium,Low,210225
14422,8,2010,9,3,2,Crawfor,2Story,High,High,411998
