TEAM,AVG_GOALS,AVG_CONCEDED,XG_FOR,XG_AGAINST,WIN_RATE,UCL_COEFFICIENT
Arsenal,2.0,1.1,1.85,1.10,0.64,78
Man City,2.5,0.8,2.30,0.85,0.80,105
Barcelona,2.1,1.0,1.95,1.05,0.72,98
Real Madrid,2.0,1.1,1.90,1.15,0.70,100
PSG,2.4,1.0,2.20,1.00,0.76,92
Marseille,1.6,1.3,1.55,1.35,0.55,77
Liverpool,2.2,1.3,2.05,1.25,0.67,96
Chelsea,1.7,1.0,1.60,1.05,0.60,89
Bayern,2.7,1.1,2.45,1.10,0.78,95
Dortmund,2.1,1.4,1.90,1.40,0.61,85
Inter,1.9,0.9,1.80,0.95,0.68,88
Juventus,1.5,1.0,1.40,1.05,0.55,86
Atletico Madrid,1.6,1.0,1.50,1.00,0.58,90
Tottenham,1.7,1.3,1.65,1.30,0.57,82
Napoli,2.0,1.1,1.90,1.10,0.64,87
Leipzig,1.9,1.2,1.85,1.20,0.59,83
